"GEOID","NAME","year","category","estimate","moe"
"47037012200","Census Tract 122, Davidson County, Tennessee",2012,"Adjacent",45913,4082
"47037012600","Census Tract 126, Davidson County, Tennessee",2012,"Adjacent",32855,3607
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2012,"Adjacent",44595,4016
"47037013400","Census Tract 134, Davidson County, Tennessee",2012,"Adjacent",75313,15954
"47037013500","Census Tract 135, Davidson County, Tennessee",2012,"Adjacent",33350,6869
"47037013601","Census Tract 136.01, Davidson County, Tennessee",2012,"Adjacent",20806,4927
"47037013602","Census Tract 136.02, Davidson County, Tennessee",2012,"Adjacent",16429,9523
"47037013700","Census Tract 137, Davidson County, Tennessee",2012,"Adjacent",25174,6181
"47037013800","Census Tract 138, Davidson County, Tennessee",2012,"Adjacent",21523,9801
"47037013900","Census Tract 139, Davidson County, Tennessee",2012,"Adjacent",19206,2617
"47037014200","Census Tract 142, Davidson County, Tennessee",2012,"Adjacent",14688,4308
"47037014300","Census Tract 143, Davidson County, Tennessee",2012,"Adjacent",27939,3178
"47037014400","Census Tract 144, Davidson County, Tennessee",2012,"Adjacent",17976,3728
"47037015900","Census Tract 159, Davidson County, Tennessee",2012,"Adjacent",19519,5383
"47037016000","Census Tract 160, Davidson County, Tennessee",2012,"Adjacent",14150,4526
"47037016100","Census Tract 161, Davidson County, Tennessee",2012,"Adjacent",17667,7257
"47037016200","Census Tract 162, Davidson County, Tennessee",2012,"Adjacent",17100,2654
"47037016300","Census Tract 163, Davidson County, Tennessee",2012,"Adjacent",23474,2587
"47037016400","Census Tract 164, Davidson County, Tennessee",2012,"Adjacent",27111,5827
"47037016500","Census Tract 165, Davidson County, Tennessee",2012,"Adjacent",21000,16030
"47037016600","Census Tract 166, Davidson County, Tennessee",2012,"Adjacent",39505,10137
"47037016700","Census Tract 167, Davidson County, Tennessee",2012,"Adjacent",91797,16500
"47037016800","Census Tract 168, Davidson County, Tennessee",2012,"Adjacent",51396,7580
"47037016900","Census Tract 169, Davidson County, Tennessee",2012,"Adjacent",83333,15010
"47037017000","Census Tract 170, Davidson County, Tennessee",2012,"Adjacent",56607,18034
"47037017100","Census Tract 171, Davidson County, Tennessee",2012,"Adjacent",54610,14218
"47037017200","Census Tract 172, Davidson County, Tennessee",2012,"Adjacent",35846,3668
"47037017300","Census Tract 173, Davidson County, Tennessee",2012,"Adjacent",34590,9058
"47037019200","Census Tract 192, Davidson County, Tennessee",2012,"Adjacent",42099,7485
"47037019300","Census Tract 193, Davidson County, Tennessee",2012,"Adjacent",11750,1632
"47037019400","Census Tract 194, Davidson County, Tennessee",2012,"Adjacent",23809,5253
"47037019600","Census Tract 196, Davidson County, Tennessee",2012,"Adjacent",35986,3926
"47037019500","Census Tract 195, Davidson County, Tennessee",2013,"CBD",50125,7425
"47037011300","Census Tract 113, Davidson County, Tennessee",2013,"Adjacent",31109,2982
"47037011700","Census Tract 117, Davidson County, Tennessee",2013,"Adjacent",35241,4655
"47037011800","Census Tract 118, Davidson County, Tennessee",2013,"Adjacent",23889,9453
"47037011900","Census Tract 119, Davidson County, Tennessee",2013,"Adjacent",26935,5695
"47037012100","Census Tract 121, Davidson County, Tennessee",2013,"Adjacent",54219,7247
"47037012200","Census Tract 122, Davidson County, Tennessee",2013,"Adjacent",51333,8619
"47037012600","Census Tract 126, Davidson County, Tennessee",2013,"Adjacent",29552,4326
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2013,"Adjacent",44888,6589
"47037013400","Census Tract 134, Davidson County, Tennessee",2013,"Adjacent",84135,12823
"47037013500","Census Tract 135, Davidson County, Tennessee",2013,"Adjacent",32935,3965
"47037013601","Census Tract 136.01, Davidson County, Tennessee",2013,"Adjacent",23234,8840
"47037013602","Census Tract 136.02, Davidson County, Tennessee",2013,"Adjacent",19861,6791
"47037013700","Census Tract 137, Davidson County, Tennessee",2013,"Adjacent",21519,5376
"47037013800","Census Tract 138, Davidson County, Tennessee",2013,"Adjacent",20366,8216
"47037013900","Census Tract 139, Davidson County, Tennessee",2013,"Adjacent",20484,2392
"47037014200","Census Tract 142, Davidson County, Tennessee",2013,"Adjacent",14414,5234
"47037014300","Census Tract 143, Davidson County, Tennessee",2013,"Adjacent",30547,4537
"47037014400","Census Tract 144, Davidson County, Tennessee",2013,"Adjacent",19259,5710
"47037015900","Census Tract 159, Davidson County, Tennessee",2013,"Adjacent",17733,2795
"47037016000","Census Tract 160, Davidson County, Tennessee",2013,"Adjacent",12482,7482
"47037016100","Census Tract 161, Davidson County, Tennessee",2013,"Adjacent",26797,10227
"47037016200","Census Tract 162, Davidson County, Tennessee",2013,"Adjacent",20466,3810
"47037016300","Census Tract 163, Davidson County, Tennessee",2013,"Adjacent",23817,5255
"47037016400","Census Tract 164, Davidson County, Tennessee",2013,"Adjacent",29566,7372
"47037016500","Census Tract 165, Davidson County, Tennessee",2013,"Adjacent",23750,13748
"47037016600","Census Tract 166, Davidson County, Tennessee",2013,"Adjacent",50394,11229
"47037016700","Census Tract 167, Davidson County, Tennessee",2013,"Adjacent",89449,21197
"47037016800","Census Tract 168, Davidson County, Tennessee",2013,"Adjacent",52404,12050
"47037016900","Census Tract 169, Davidson County, Tennessee",2013,"Adjacent",87975,13920
"47037017000","Census Tract 170, Davidson County, Tennessee",2013,"Adjacent",55694,20132
"47037017100","Census Tract 171, Davidson County, Tennessee",2013,"Adjacent",54563,17047
"47037017200","Census Tract 172, Davidson County, Tennessee",2013,"Adjacent",37147,6848
"47037017300","Census Tract 173, Davidson County, Tennessee",2013,"Adjacent",32925,7400
"47037019200","Census Tract 192, Davidson County, Tennessee",2013,"Adjacent",43475,7476
"47037019300","Census Tract 193, Davidson County, Tennessee",2013,"Adjacent",11131,1449
"47037019400","Census Tract 194, Davidson County, Tennessee",2013,"Adjacent",29643,9512
"47037019600","Census Tract 196, Davidson County, Tennessee",2013,"Adjacent",36699,3638
"47037019500","Census Tract 195, Davidson County, Tennessee",2014,"CBD",51900,8429
"47037011300","Census Tract 113, Davidson County, Tennessee",2014,"Adjacent",31863,2702
"47037011700","Census Tract 117, Davidson County, Tennessee",2014,"Adjacent",43330,4849
"47037011800","Census Tract 118, Davidson County, Tennessee",2014,"Adjacent",31175,10181
"47037011900","Census Tract 119, Davidson County, Tennessee",2014,"Adjacent",27242,2923
"47037012100","Census Tract 121, Davidson County, Tennessee",2014,"Adjacent",55202,10070
"47037012200","Census Tract 122, Davidson County, Tennessee",2014,"Adjacent",55714,11809
"47037012600","Census Tract 126, Davidson County, Tennessee",2014,"Adjacent",32399,4661
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2014,"Adjacent",47500,6376
"47037013400","Census Tract 134, Davidson County, Tennessee",2014,"Adjacent",100309,23231
"47037013500","Census Tract 135, Davidson County, Tennessee",2014,"Adjacent",34289,4530
"47037013601","Census Tract 136.01, Davidson County, Tennessee",2014,"Adjacent",22628,3793
"47037013602","Census Tract 136.02, Davidson County, Tennessee",2014,"Adjacent",21157,12309
"47037013700","Census Tract 137, Davidson County, Tennessee",2014,"Adjacent",26602,4675
"47037013800","Census Tract 138, Davidson County, Tennessee",2014,"Adjacent",21961,5720
"47037013900","Census Tract 139, Davidson County, Tennessee",2014,"Adjacent",21042,2266
"47037014200","Census Tract 142, Davidson County, Tennessee",2014,"Adjacent",16563,4337
"47037014300","Census Tract 143, Davidson County, Tennessee",2014,"Adjacent",30222,3770
"47037014400","Census Tract 144, Davidson County, Tennessee",2014,"Adjacent",17464,5179
"47037015900","Census Tract 159, Davidson County, Tennessee",2014,"Adjacent",15683,2250
"47037016000","Census Tract 160, Davidson County, Tennessee",2014,"Adjacent",19803,13149
"47037016100","Census Tract 161, Davidson County, Tennessee",2014,"Adjacent",24073,8153
"47037016200","Census Tract 162, Davidson County, Tennessee",2014,"Adjacent",21543,3688
"47037016300","Census Tract 163, Davidson County, Tennessee",2014,"Adjacent",25901,5477
"47037016400","Census Tract 164, Davidson County, Tennessee",2014,"Adjacent",34688,8021
"47037016500","Census Tract 165, Davidson County, Tennessee",2014,"Adjacent",28203,8124
"47037016600","Census Tract 166, Davidson County, Tennessee",2014,"Adjacent",49031,10471
"47037016700","Census Tract 167, Davidson County, Tennessee",2014,"Adjacent",91591,21404
"47037016800","Census Tract 168, Davidson County, Tennessee",2014,"Adjacent",55069,16900
"47037016900","Census Tract 169, Davidson County, Tennessee",2014,"Adjacent",84315,11770
"47037017000","Census Tract 170, Davidson County, Tennessee",2014,"Adjacent",49961,9792
"47037017100","Census Tract 171, Davidson County, Tennessee",2014,"Adjacent",56897,5005
"47037017200","Census Tract 172, Davidson County, Tennessee",2014,"Adjacent",36786,3583
"47037017300","Census Tract 173, Davidson County, Tennessee",2014,"Adjacent",32891,5331
"47037019200","Census Tract 192, Davidson County, Tennessee",2014,"Adjacent",47422,9561
"47037019300","Census Tract 193, Davidson County, Tennessee",2014,"Adjacent",10290,2248
"47037019400","Census Tract 194, Davidson County, Tennessee",2014,"Adjacent",38405,9838
"47037019600","Census Tract 196, Davidson County, Tennessee",2014,"Adjacent",38785,4072
"47037019500","Census Tract 195, Davidson County, Tennessee",2015,"CBD",53306,6966
"47037011300","Census Tract 113, Davidson County, Tennessee",2015,"Adjacent",32440,6071
"47037011700","Census Tract 117, Davidson County, Tennessee",2015,"Adjacent",47870,4832
"47037011800","Census Tract 118, Davidson County, Tennessee",2015,"Adjacent",31121,5473
"47037011900","Census Tract 119, Davidson County, Tennessee",2015,"Adjacent",29577,3429
"47037012100","Census Tract 121, Davidson County, Tennessee",2015,"Adjacent",54619,13159
"47037012200","Census Tract 122, Davidson County, Tennessee",2015,"Adjacent",59423,16837
"47037012600","Census Tract 126, Davidson County, Tennessee",2015,"Adjacent",35559,5641
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2015,"Adjacent",46959,5597
"47037013400","Census Tract 134, Davidson County, Tennessee",2015,"Adjacent",92083,23565
"47037013500","Census Tract 135, Davidson County, Tennessee",2015,"Adjacent",37738,6115
"47037013601","Census Tract 136.01, Davidson County, Tennessee",2015,"Adjacent",23541,1490
"47037013602","Census Tract 136.02, Davidson County, Tennessee",2015,"Adjacent",22315,17957
"47037013700","Census Tract 137, Davidson County, Tennessee",2015,"Adjacent",26687,5441
"47037013800","Census Tract 138, Davidson County, Tennessee",2015,"Adjacent",29766,6929
"47037013900","Census Tract 139, Davidson County, Tennessee",2015,"Adjacent",21884,2672
"47037014200","Census Tract 142, Davidson County, Tennessee",2015,"Adjacent",17055,2923
"47037014300","Census Tract 143, Davidson County, Tennessee",2015,"Adjacent",29679,4010
"47037014400","Census Tract 144, Davidson County, Tennessee",2015,"Adjacent",20222,4741
"47037015900","Census Tract 159, Davidson County, Tennessee",2015,"Adjacent",15602,3128
"47037016000","Census Tract 160, Davidson County, Tennessee",2015,"Adjacent",35714,14797
"47037016100","Census Tract 161, Davidson County, Tennessee",2015,"Adjacent",28134,5441
"47037016200","Census Tract 162, Davidson County, Tennessee",2015,"Adjacent",23250,4845
"47037016300","Census Tract 163, Davidson County, Tennessee",2015,"Adjacent",29844,7645
"47037016400","Census Tract 164, Davidson County, Tennessee",2015,"Adjacent",34667,8404
"47037016500","Census Tract 165, Davidson County, Tennessee",2015,"Adjacent",29792,13027
"47037016600","Census Tract 166, Davidson County, Tennessee",2015,"Adjacent",49783,9874
"47037016700","Census Tract 167, Davidson County, Tennessee",2015,"Adjacent",102364,18098
"47037016800","Census Tract 168, Davidson County, Tennessee",2015,"Adjacent",54635,18487
"47037016900","Census Tract 169, Davidson County, Tennessee",2015,"Adjacent",88491,17106
"47037017000","Census Tract 170, Davidson County, Tennessee",2015,"Adjacent",64967,17106
"47037017100","Census Tract 171, Davidson County, Tennessee",2015,"Adjacent",60750,14717
"47037017200","Census Tract 172, Davidson County, Tennessee",2015,"Adjacent",36990,2297
"47037017300","Census Tract 173, Davidson County, Tennessee",2015,"Adjacent",32033,5364
"47037019200","Census Tract 192, Davidson County, Tennessee",2015,"Adjacent",44673,3387
"47037019300","Census Tract 193, Davidson County, Tennessee",2015,"Adjacent",10094,2071
"47037019400","Census Tract 194, Davidson County, Tennessee",2015,"Adjacent",48523,14555
"47037019600","Census Tract 196, Davidson County, Tennessee",2015,"Adjacent",43237,5147
"47037019500","Census Tract 195, Davidson County, Tennessee",2016,"CBD",60066,7010
"47037011300","Census Tract 113, Davidson County, Tennessee",2016,"Adjacent",36304,5621
"47037011700","Census Tract 117, Davidson County, Tennessee",2016,"Adjacent",53806,6960
"47037011800","Census Tract 118, Davidson County, Tennessee",2016,"Adjacent",28882,6056
"47037011900","Census Tract 119, Davidson County, Tennessee",2016,"Adjacent",34425,3977
"47037012100","Census Tract 121, Davidson County, Tennessee",2016,"Adjacent",71657,13851
"47037012200","Census Tract 122, Davidson County, Tennessee",2016,"Adjacent",58105,16867
"47037012600","Census Tract 126, Davidson County, Tennessee",2016,"Adjacent",27336,3530
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2016,"Adjacent",46736,6575
"47037013400","Census Tract 134, Davidson County, Tennessee",2016,"Adjacent",102700,20564
"47037013500","Census Tract 135, Davidson County, Tennessee",2016,"Adjacent",45625,13808
"47037013601","Census Tract 136.01, Davidson County, Tennessee",2016,"Adjacent",23821,2067
"47037013602","Census Tract 136.02, Davidson County, Tennessee",2016,"Adjacent",23611,16009
"47037013700","Census Tract 137, Davidson County, Tennessee",2016,"Adjacent",27066,6639
"47037013800","Census Tract 138, Davidson County, Tennessee",2016,"Adjacent",30081,7071
"47037013900","Census Tract 139, Davidson County, Tennessee",2016,"Adjacent",22260,2973
"47037014200","Census Tract 142, Davidson County, Tennessee",2016,"Adjacent",18480,3074
"47037014300","Census Tract 143, Davidson County, Tennessee",2016,"Adjacent",30313,3864
"47037014400","Census Tract 144, Davidson County, Tennessee",2016,"Adjacent",23942,3004
"47037015900","Census Tract 159, Davidson County, Tennessee",2016,"Adjacent",14083,3821
"47037016000","Census Tract 160, Davidson County, Tennessee",2016,"Adjacent",34688,14868
"47037016100","Census Tract 161, Davidson County, Tennessee",2016,"Adjacent",29006,2805
"47037016200","Census Tract 162, Davidson County, Tennessee",2016,"Adjacent",24794,5254
"47037016300","Census Tract 163, Davidson County, Tennessee",2016,"Adjacent",32500,10338
"47037016400","Census Tract 164, Davidson County, Tennessee",2016,"Adjacent",30929,7436
"47037016500","Census Tract 165, Davidson County, Tennessee",2016,"Adjacent",31406,3696
"47037016600","Census Tract 166, Davidson County, Tennessee",2016,"Adjacent",52674,6220
"47037016700","Census Tract 167, Davidson County, Tennessee",2016,"Adjacent",94331,14654
"47037016800","Census Tract 168, Davidson County, Tennessee",2016,"Adjacent",54724,21681
"47037016900","Census Tract 169, Davidson County, Tennessee",2016,"Adjacent",90082,11315
"47037017000","Census Tract 170, Davidson County, Tennessee",2016,"Adjacent",75536,12465
"47037017100","Census Tract 171, Davidson County, Tennessee",2016,"Adjacent",56182,8692
"47037017200","Census Tract 172, Davidson County, Tennessee",2016,"Adjacent",38869,4994
"47037017300","Census Tract 173, Davidson County, Tennessee",2016,"Adjacent",37917,10731
